design_id,t,L_gusset,r_toe
lhs_01,3.658084,20.824449,2.611312
lhs_02,4.784211,17.762329,1.961950
lhs_03,4.459109,17.885574,1.869751
lhs_04,4.323969,20.451681,2.125859
lhs_05,4.228491,21.870895,1.524527
lhs_06,4.981821,19.578166,2.834895
lhs_07,3.333790,17.147334,2.699353
lhs_08,3.531638,24.211721,2.368550
lhs_09,4.857729,18.522145,1.202662
lhs_10,3.076496,21.338284,2.945356
lhs_11,3.740419,24.612996,2.893934
lhs_12,4.170363,16.412178,1.944842
lhs_13,3.949606,15.609718,1.621847
lhs_14,4.626415,23.625139,1.733386
lhs_15,3.823979,20.075053,2.213419
lhs_16,3.175619,15.245009,2.496934
lhs_17,4.385400,16.944099,1.384007
lhs_18,3.639411,22.685230,2.306812
lhs_19,3.103587,21.487708,1.123287
lhs_20,4.554501,22.544081,1.310838
lhs_21,4.066528,18.811562,1.034781
lhs_22,3.978800,15.946113,2.555714
lhs_23,3.275263,23.278420,1.717535
lhs_24,3.445063,19.314166,1.447318
lhs_25,4.691728,24.106424,2.115336
