design_id,t,L_gusset,r_toe,hole_h,r3_h,toe_h,success,n_nodes,n_elements,n_linear_tets,min_linear_volume,mean_linear_volume,n_bad_volume_elements,n_root_nodes,n_tip_nodes,est_equations,pct_of_ceiling,inp_path,failure_stage,failure_reason
lhs_01,3.658084,20.824449,2.611312,0.25,0.25,0.1,True,378566,252267,252267,4.231810121222681e-05,0.10278718685020123,0,51,51,1135698,96.24559322033899,simulation/stage6_parametric/stage6_lhs_01_mesh.inp,,
lhs_02,4.784211,17.762329,1.96195,0.25,0.25,0.1,True,356878,237977,237977,5.683058963535336e-05,0.12123999884077323,0,45,45,1070634,90.73169491525424,simulation/stage6_parametric/stage6_lhs_02_mesh.inp,,
lhs_03,4.459109,17.885574,1.869751,0.25,0.25,0.1,True,329881,218675,218675,6.571547940491136e-05,0.1253726809850139,0,45,45,989643,83.86805084745762,simulation/stage6_parametric/stage6_lhs_03_mesh.inp,,
lhs_04,4.323969,20.451681,2.125859,0.25,0.25,0.1,True,369604,247100,247100,6.353809547743226e-05,0.11635025102445813,0,45,45,1108812,93.9671186440678,simulation/stage6_parametric/stage6_lhs_04_mesh.inp,,
lhs_05,4.228491,21.870895,1.524527,0.25,0.25,0.1,True,316024,209666,209666,4.7425601834339737e-05,0.1407061440275224,0,45,45,948072,80.3450847457627,simulation/stage6_parametric/stage6_lhs_05_mesh.inp,,
lhs_06,4.981821,19.578166,2.834895,0.25,0.25,0.1,False,415054,277590,277590,5.7707271701864256e-05,0.11217052323776774,0,45,45,1245162,105.52220338983051,,exceeds_solver_ceiling,Estimated 1245162 equations exceeds documented 1180000 direct-solver ceiling
lhs_07,3.33379,17.147334,2.699353,0.25,0.25,0.1,True,385708,256657,256657,6.011658267725936e-05,0.08419840342753683,0,45,45,1157124,98.06135593220338,simulation/stage6_parametric/stage6_lhs_07_mesh.inp,,
lhs_08,3.531638,24.211721,2.36855,0.25,0.25,0.1,True,365623,243508,243508,5.1242035332761e-05,0.11656455638412631,0,51,51,1096869,92.955,simulation/stage6_parametric/stage6_lhs_08_mesh.inp,,
lhs_09,4.857729,18.522145,1.202662,0.25,0.25,0.1,True,297855,198405,198405,6.865676889062638e-05,0.14992589754511784,0,45,45,893565,75.72584745762713,simulation/stage6_parametric/stage6_lhs_09_mesh.inp,,
lhs_10,3.076496,21.338284,2.945356,0.25,0.25,0.1,False,398170,264583,264583,5.7854662383944093e-05,0.08928630249593263,0,48,48,1194510,101.22966101694915,,exceeds_solver_ceiling,Estimated 1194510 equations exceeds documented 1180000 direct-solver ceiling
lhs_11,3.740419,24.612996,2.893934,0.25,0.25,0.1,False,399346,266208,266208,5.766613666000882e-05,0.11179790681533086,0,51,51,1198038,101.5286440677966,,exceeds_solver_ceiling,Estimated 1198038 equations exceeds documented 1180000 direct-solver ceiling
lhs_12,4.170363,16.412178,1.944842,0.25,0.25,0.1,True,344074,228889,228889,6.095477066074558e-05,0.10944167641302481,0,45,45,1032222,87.4764406779661,simulation/stage6_parametric/stage6_lhs_12_mesh.inp,,
lhs_13,3.949606,15.609718,1.621847,0.25,0.25,0.1,True,305788,202402,202402,4.938110931782526e-05,0.116094400415076,0,45,45,917364,77.74271186440679,simulation/stage6_parametric/stage6_lhs_13_mesh.inp,,
lhs_14,4.626415,23.625139,1.733386,0.25,0.25,0.1,True,325756,216282,216282,6.52760012825506e-05,0.15241704211472723,0,45,45,977268,82.8193220338983,simulation/stage6_parametric/stage6_lhs_14_mesh.inp,,
lhs_15,3.823979,20.075053,2.213419,0.25,0.25,0.1,True,385505,258801,258801,6.685434178979443e-05,0.10083353520368661,0,51,48,1156515,98.00974576271186,simulation/stage6_parametric/stage6_lhs_15_mesh.inp,,
lhs_16,3.175619,15.245009,2.496934,0.25,0.25,0.1,True,378190,252581,252581,4.8304716266126967e-05,0.07772137480262663,0,48,48,1134570,96.15,simulation/stage6_parametric/stage6_lhs_16_mesh.inp,,
lhs_17,4.3854,16.944099,1.384007,0.25,0.25,0.1,True,310409,206849,206849,5.802814730946144e-05,0.12769142737471378,0,45,45,931227,78.91754237288136,simulation/stage6_parametric/stage6_lhs_17_mesh.inp,,
lhs_18,3.639411,22.68523,2.306812,0.25,0.25,0.1,True,362400,242025,242025,6.568801673781012e-05,0.11345878858647303,0,51,51,1087200,92.13559322033899,simulation/stage6_parametric/stage6_lhs_18_mesh.inp,,
lhs_19,3.103587,21.487708,1.123287,0.25,0.25,0.1,True,271647,179876,179876,6.38147037606502e-05,0.13271953240486348,0,48,48,814941,69.06279661016949,simulation/stage6_parametric/stage6_lhs_19_mesh.inp,,
lhs_20,4.554501,22.544081,1.310838,0.25,0.25,0.1,True,296761,197837,197837,5.916005577550349e-05,0.15987194056350995,0,45,45,890283,75.44771186440678,simulation/stage6_parametric/stage6_lhs_20_mesh.inp,,
lhs_21,4.066528,18.811562,1.034781,0.25,0.25,0.1,True,286988,191583,191583,7.106970114023714e-05,0.13701731185194055,0,45,45,860964,72.96305084745762,simulation/stage6_parametric/stage6_lhs_21_mesh.inp,,
lhs_22,3.9788,15.946113,2.555714,0.25,0.25,0.1,True,379269,252868,252868,5.5320796676749126e-05,0.09432052832685783,0,45,45,1137807,96.4243220338983,simulation/stage6_parametric/stage6_lhs_22_mesh.inp,,
lhs_23,3.275263,23.27842,1.717535,0.25,0.25,0.1,True,318519,211641,211641,5.7853105470172326e-05,0.12420816699365131,0,48,48,955557,80.97940677966102,simulation/stage6_parametric/stage6_lhs_23_mesh.inp,,
lhs_24,3.445063,19.314166,1.447318,0.25,0.25,0.1,True,297651,197233,197233,5.686507864817694e-05,0.12021389193687809,0,45,45,892953,75.67398305084745,simulation/stage6_parametric/stage6_lhs_24_mesh.inp,,
lhs_25,4.691728,24.106424,2.115336,0.25,0.25,0.1,True,362522,241614,241614,6.51198515279519e-05,0.13961092223544902,0,45,45,1087566,92.16661016949152,simulation/stage6_parametric/stage6_lhs_25_mesh.inp,,
