design_id,t,L_gusset,r_toe,mass,solver_status,return_code,solve_time_sec,output_file_status,parser_status,equilibrium_status,equil_error_pct,max_ux_mm,peak_vm_mpa,failure_stage,failure_reason
baseline,,,,,ok,0,150.49,found,ok,ok,0.000807,-2.64006,286.2243,,
lhs_01,3.658084,20.824449,2.611312,25929.439534390287,nonzero_exit,-11,292.46,found,parse_error,na,,,,solve,ccx exited with code -11
lhs_02,4.784211,17.762329,1.96195,28851.964161717187,ok,0,244.85,found,ok,ok,0.000208,-1.66609,203.6371,,
lhs_03,4.459109,17.885574,1.869751,27415.472634282047,ok,0,201.56,found,ok,ok,8.9e-05,-2.04373,233.0449,,
lhs_04,4.323969,20.451681,2.125859,28749.75415924926,nonzero_exit,-11,339.64,found,parse_error,na,,,,solve,ccx exited with code -11
lhs_05,4.228491,21.870895,1.524527,29500.906978435683,ok,0,199.97,found,ok,ok,0.00045,-2.11162,258.3415,,
lhs_06_COARSE,,,,,ok,0,35.07,found,ok,ok,0.000255,-1.39532,187.5386,,
lhs_06_L2,,,,,ok,0,106.95,found,ok,ok,0.000212,-1.39601,188.4064,,
lhs_07,3.33379,17.147334,2.699353,21609.740172341404,nonzero_exit,-11,333.93,found,parse_error,na,,,,solve,ccx exited with code -11
lhs_08,3.531638,24.211721,2.36855,28384.027391717016,nonzero_exit,-11,239.92,found,parse_error,na,,,,solve,ccx exited with code -11
lhs_09,4.857729,18.522145,1.202662,29745.641111204615,ok,0,177.71,found,ok,ok,0.001147,-1.55843,197.493,,
lhs_12,4.170363,16.412178,1.944842,25049.641697532807,ok,0,217.88,found,ok,ok,0.00028,-2.60135,264.3267,,
lhs_13,3.949606,15.609718,1.621847,23497.350830957566,ok,0,163.65,found,ok,ok,4e-06,-3.12753,292.6988,,
lhs_14,4.626415,23.625139,1.733386,32964.701632540746,ok,0,208.54,found,ok,ok,9.3e-05,-1.52892,218.3371,,
lhs_15,3.823979,20.075053,2.213419,26095.41528434026,nonzero_exit,-11,346.85,found,parse_error,na,,,,solve,ccx exited with code -11
lhs_16,3.175619,15.245009,2.496934,19630.600591369468,nonzero_exit,-11,309.76,found,parse_error,na,,,,solve,ccx exited with code -11
lhs_17,4.3854,16.944099,1.384007,26412.450438687258,ok,0,197.92,found,ok,ok,0.000641,-2.21095,240.1721,,
lhs_18,3.639411,22.68523,2.306812,27459.48934255114,nonzero_exit,-11,304.97,found,parse_error,na,,,,solve,ccx exited with code -11
lhs_19,3.103587,21.487708,1.123287,23872.73070835481,ok,0,139.91,found,ok,ok,0.000615,-5.33758,465.8933,,
lhs_20,4.554501,22.544081,1.310838,31628.189742332408,ok,0,174.67,found,ok,ok,0.00037,-1.66054,224.2929,,
lhs_21,4.066528,18.811562,1.034781,26249.797252358145,ok,0,172.96,found,ok,ok,0.000253,-2.61289,277.1204,,
lhs_22,3.9788,15.946113,2.555714,23850.256030643777,nonzero_exit,-11,311.47,found,parse_error,na,,,,solve,ccx exited with code -11
lhs_23,3.275263,23.27842,1.717535,26287.17134473869,ok,0,187.66,found,ok,ok,2.1e-05,-4.28884,421.447,,
lhs_24,3.445063,19.314166,1.447318,23709.773662725485,ok,0,163.88,found,ok,ok,0.000219,-4.19307,380.4717,,
lhs_25,4.691728,24.106424,2.115336,33731.55043014736,nonzero_exit,-11,281.49,found,parse_error,na,,,,solve,ccx exited with code -11
lhs_25_COARSE,,,,,ok,0,30.84,found,ok,ok,0.000595,-1.4457,211.2092,,
sub_01,4.799383670558502,15.685759343943523,1.3110954387891107,27532.0620005495,ok,0,24.82,found,ok,ok,0.000998,-1.75558,200.9951,,
sub_02,4.9464690073645,23.670930486192724,1.591768572918546,34506.94812290584,ok,0,27.12,found,ok,ok,3.8e-05,-1.25411,190.6331,,
sub_03,4.579529167665852,16.622675440631518,2.3919892386380517,27110.547624029306,ok,0,34.94,found,ok,ok,0.001198,-1.95883,219.7537,,
sub_04,4.642732288830048,18.269414543705537,2.2964314664396777,28555.630685021817,ok,0,35.01,found,ok,ok,0.001958,-1.79191,214.2307,,
sub_05,4.902366290779183,18.688957107948365,2.6218824508428815,30083.48337494022,ok,0,34.65,found,ok,ok,0.000595,-1.50585,193.1811,,
sub_06,4.716374426453838,22.72620946944044,2.7929097926550295,32557.130987481985,ok,0,35.1,found,ok,ok,0.000221,-1.48562,208.4751,,
sub_07,4.532128923914098,20.517949451734147,1.1733709566880792,29777.99526585016,ok,0,28.6,found,ok,ok,0.000324,-1.7949,224.6988,,
sub_08,4.8616779671638914,24.64096194603371,1.865948099042015,35048.02939817196,ok,0,30.81,found,ok,ok,0.000382,-1.28064,196.9777,,
sub_09,4.731857676564957,21.524454411727877,2.066662505579001,31563.07729890837,ok,0,33.95,found,ok,ok,0.001385,-1.53184,207.2918,,
