shape,level_pct,mesh_level,mass_g,stiffness_N_per_mm,net_section_szz_MPa,net_section_method,peak_vm_MPa,equilibrium_err_pct
rect,10,h2p0,239.38,557186.9829012686,-0.22661545489361704,nodal_mean_corner_excl_proxy,0.5177055280470962,-6.132602418463124e-06
rect,20,h2p0,221.45,482042.1646317061,-0.25632600098863073,nodal_mean_corner_excl_proxy,0.5547452177955896,2.6185686492204025e-06
rect,30,h2p0,203.53,426934.7701016227,-0.2808167504393673,nodal_mean_corner_excl_proxy,0.589985675619344,-1.7035164104155517e-06
circle,10,h2p0,239.38,546304.2499816826,-0.2646928027941967,nodal_mean_corner_excl_proxy,0.5296914296642335,4.588706197011062e-06
circle,20,h2p0,221.45,460684.4748603187,-0.32906339590942296,nodal_mean_corner_excl_proxy,0.5808255512449976,-5.6149813843203e-06
circle,30,h2p0,203.53,395044.59386156354,-0.40695451959799,nodal_mean_corner_excl_proxy,0.6520693404653506,1.8588191389627572e-06
cross,10,h1p8,239.38,317160.90794553614,-0.7176187884615386,nodal_mean_corner_excl_proxy,1.4461946006138076,-1.7153889773032503e-06
cross,20,h1p8,221.45,306379.30258541566,-0.6190478528827038,nodal_mean_corner_excl_proxy,1.25458274216983,3.7948519024326695e-07
cross,30,h1p8,203.53,297090.9063310545,-0.5608077008196722,nodal_mean_corner_excl_proxy,1.1326214294923038,-7.502207947245766e-07
grid,10,h1p8,239.38,555670.3409018319,-0.15816724322361836,nodal_mean_corner_excl_proxy,0.4919681976607907,8.649368867797534e-06
grid,20,h1p8,221.45,475237.4246144602,-0.1407830520444002,nodal_mean_corner_excl_proxy,0.5383987722042184,-3.7154669594431074e-06
grid,30,h1p8,203.53,412189.20206702827,-0.12051271247225606,nodal_mean_corner_excl_proxy,0.5972821089354701,5.5333480866032266e-06
config_a_baseline,0,h2p0,257.31,667635.4332342646,-0.1643,uniform_theoretical,,
