tag,maxh,linear_nodes,tets,est_c3d10_nodes,est_elem_pct_of_ceiling,est_eq,est_eq_pct_of_ceiling,gen_time_s
attempt100_hull,3.0,9639,28150,57666,12.24,172998,14.66,1.55
attempt100_hull,2.0,23599,76960,157655,33.46,472965,40.08,4.16
attempt100_hull,1.8,28920,93943,192445,40.84,577335,48.93,4.96
attempt100_star,3.0,9746,28369,58115,12.33,174345,14.78,1.56
attempt100_star,2.0,23960,77929,159640,33.88,478920,40.59,4.24
attempt100_star,1.8,29280,94844,194291,41.24,582873,49.4,5.14
attempt101_hull,3.0,9630,28201,57771,12.26,173313,14.69,1.54
attempt101_hull,2.0,23762,77677,159124,33.77,477372,40.46,7.66
attempt101_hull,1.8,28989,94454,193492,41.07,580476,49.19,5.51
attempt101_star,3.0,9670,27979,57316,12.16,171948,14.57,1.61
attempt101_star,2.0,23740,77108,157958,33.53,473874,40.16,4.29
attempt101_star,1.8,29041,93941,192441,40.84,577323,48.93,5.23
attempt102_hull,3.0,9704,28381,58139,12.34,174417,14.78,1.58
attempt102_hull,2.0,23555,76836,157401,33.41,472203,40.02,4.24
attempt102_hull,1.8,28976,94208,192988,40.96,578964,49.06,5.19
attempt102_star,3.0,9632,28055,57471,12.2,172413,14.61,1.59
attempt102_star,2.0,23706,77318,158388,33.62,475164,40.27,7.48
attempt102_star,1.8,28822,93602,191746,40.7,575238,48.75,5.4
attempt103_hull,3.0,9693,28370,58117,12.33,174351,14.78,1.54
attempt103_hull,2.0,23620,77161,158067,33.55,474201,40.19,4.22
attempt103_hull,1.8,29001,94484,193553,41.08,580659,49.21,5.11
attempt104_hull,3.0,9801,28706,58805,12.48,176415,14.95,1.57
attempt104_hull,2.0,23924,78125,160041,33.97,480123,40.69,4.28
attempt104_hull,1.8,29195,94881,194366,41.25,583098,49.42,5.34
attempt104_star,3.0,9738,28226,57822,12.27,173466,14.7,1.62
attempt104_star,2.0,23861,77463,158685,33.68,476055,40.34,7.79
attempt104_star,1.8,29082,94314,193205,41.01,579615,49.12,5.35
attempt105_hull,3.0,9740,28489,58361,12.39,175083,14.84,1.56
attempt105_hull,2.0,23669,77339,158431,33.63,475293,40.28,4.31
attempt105_hull,1.8,29179,94941,194489,41.28,583467,49.45,5.25
attempt106_hull,3.0,9661,28284,57941,12.3,173823,14.73,1.54
attempt106_hull,2.0,23571,77112,157966,33.53,473898,40.16,4.23
attempt106_hull,1.8,28889,94172,192914,40.94,578742,49.05,5.24
attempt106_star,3.0,9661,28295,57963,12.3,173889,14.74,4.78
attempt106_star,2.0,23583,77102,157946,33.52,473838,40.16,4.46
attempt106_star,1.8,28864,94066,192697,40.9,578091,48.99,5.37
attempt107_hull,3.0,9678,28290,57953,12.3,173859,14.73,1.56
attempt107_hull,2.0,23874,77904,159589,33.87,478767,40.57,4.33
attempt107_hull,1.8,29316,95281,195186,41.43,585558,49.62,5.18
attempt107_star,3.0,9750,28353,58082,12.33,174246,14.77,1.54
attempt107_star,2.0,23764,77436,158630,33.67,475890,40.33,4.33
attempt107_star,1.8,29111,94518,193623,41.09,580869,49.23,8.45
attempt108_hull,3.0,9583,28063,57488,12.2,172464,14.62,1.6
attempt108_hull,2.0,23493,76918,157569,33.44,472707,40.06,4.46
attempt108_hull,1.8,28674,93371,191273,40.6,573819,48.63,5.1
