tag,maxh,status,n_solids,n_faces,linear_nodes,tets,gen_time_s
attempt100_hull,3.0,ok,1,30,9639,28150,1.55
attempt100_hull,2.0,ok,1,30,23599,76960,4.16
attempt100_hull,1.8,ok,1,30,28920,93943,4.96
attempt100_star,3.0,ok,1,50,9746,28369,1.56
attempt100_star,2.0,ok,1,50,23960,77929,4.24
attempt100_star,1.8,ok,1,50,29280,94844,5.14
attempt101_hull,3.0,ok,1,42,9630,28201,1.54
attempt101_hull,2.0,ok,1,42,23762,77677,7.66
attempt101_hull,1.8,ok,1,42,28989,94454,5.51
attempt101_star,3.0,ok,1,54,9670,27979,1.61
attempt101_star,2.0,ok,1,54,23740,77108,4.29
attempt101_star,1.8,ok,1,54,29041,93941,5.23
attempt102_hull,3.0,ok,1,46,9704,28381,1.58
attempt102_hull,2.0,ok,1,46,23555,76836,4.24
attempt102_hull,1.8,ok,1,46,28976,94208,5.19
attempt102_star,3.0,ok,1,58,9632,28055,1.59
attempt102_star,2.0,ok,1,58,23706,77318,7.48
attempt102_star,1.8,ok,1,58,28822,93602,5.4
attempt103_hull,3.0,ok,1,42,9693,28370,1.54
attempt103_hull,2.0,ok,1,42,23620,77161,4.22
attempt103_hull,1.8,ok,1,42,29001,94484,5.11
attempt104_hull,3.0,ok,1,38,9801,28706,1.57
attempt104_hull,2.0,ok,1,38,23924,78125,4.28
attempt104_hull,1.8,ok,1,38,29195,94881,5.34
attempt104_star,3.0,ok,1,66,9738,28226,1.62
attempt104_star,2.0,ok,1,66,23861,77463,7.79
attempt104_star,1.8,ok,1,66,29082,94314,5.35
attempt105_hull,3.0,ok,1,38,9740,28489,1.56
attempt105_hull,2.0,ok,1,38,23669,77339,4.31
attempt105_hull,1.8,ok,1,38,29179,94941,5.25
attempt106_hull,3.0,ok,1,38,9661,28284,1.54
attempt106_hull,2.0,ok,1,38,23571,77112,4.23
attempt106_hull,1.8,ok,1,38,28889,94172,5.24
attempt106_star,3.0,ok,1,42,9661,28295,4.78
attempt106_star,2.0,ok,1,42,23583,77102,4.46
attempt106_star,1.8,ok,1,42,28864,94066,5.37
attempt107_hull,3.0,ok,1,34,9678,28290,1.56
attempt107_hull,2.0,ok,1,34,23874,77904,4.33
attempt107_hull,1.8,ok,1,34,29316,95281,5.18
attempt107_star,3.0,ok,1,46,9750,28353,1.54
attempt107_star,2.0,ok,1,46,23764,77436,4.33
attempt107_star,1.8,ok,1,46,29111,94518,8.45
attempt108_hull,3.0,ok,1,42,9583,28063,1.6
attempt108_hull,2.0,ok,1,42,23493,76918,4.46
attempt108_hull,1.8,ok,1,42,28674,93371,5.1
attempt108_star,3.0,ok,1,50,9681,28226,1.57
attempt108_star,2.0,ok,1,50,23543,76773,4.26
attempt108_star,1.8,ok,1,50,28829,93685,5.22
attempt109_hull,3.0,ok,1,42,9614,28144,1.55
attempt109_hull,2.0,ok,1,42,23531,76990,4.22
attempt109_hull,1.8,ok,1,42,28901,94191,8.56
attempt10_hull,3.0,ok,1,42,9759,28512,1.67
attempt10_hull,2.0,ok,1,42,23858,77894,4.71
attempt10_hull,1.8,ok,1,42,29125,94880,5.25
attempt10_star,3.0,ok,1,42,9762,28511,1.6
attempt10_star,2.0,ok,1,42,23955,78273,4.4
attempt10_star,1.8,ok,1,42,28960,94268,5.24
attempt110_hull,3.0,ok,1,38,9667,28242,1.56
attempt110_hull,2.0,ok,1,38,23909,78120,4.36
attempt110_hull,1.8,ok,1,38,29277,95118,8.02
attempt110_star,3.0,ok,1,58,9674,28013,2.18
attempt110_star,2.0,ok,1,58,23955,77912,4.66
attempt110_star,1.8,ok,1,58,29303,94875,5.48
attempt111_hull,3.0,ok,1,46,9471,27722,1.56
attempt111_hull,2.0,ok,1,46,23326,76356,4.4
attempt111_hull,1.8,ok,1,46,28738,93664,5.27
attempt111_star,3.0,ok,1,62,9772,28312,1.67
attempt111_star,2.0,ok,1,62,23875,77630,4.42
attempt111_star,1.8,ok,1,62,29346,94952,5.45
attempt112_hull,3.0,ok,1,42,9549,27921,1.57
attempt112_hull,2.0,ok,1,42,23588,77125,4.41
attempt112_hull,1.8,ok,1,42,28746,93640,9.24
attempt114_hull,3.0,ok,1,38,9517,27866,1.55
attempt114_hull,2.0,ok,1,38,23371,76624,4.28
attempt114_hull,1.8,ok,1,38,28587,93149,5.22
attempt114_star,3.0,ok,1,42,9524,27818,1.57
attempt114_star,2.0,ok,1,42,23596,77049,4.41
attempt114_star,1.8,ok,1,42,28825,93807,5.26
attempt115_hull,3.0,ok,1,34,9623,28153,1.56
attempt115_hull,2.0,ok,1,34,23674,77328,7.06
attempt115_hull,1.8,ok,1,34,28930,94023,5.29
attempt115_star,3.0,ok,1,46,9752,28341,1.6
attempt115_star,2.0,ok,1,46,23925,77794,4.46
attempt115_star,1.8,ok,1,46,29141,94487,5.32
attempt116_hull,3.0,ok,1,38,9763,28601,1.57
attempt116_hull,2.0,ok,1,38,23884,78070,4.4
attempt116_hull,1.8,ok,1,38,29139,94853,5.25
attempt117_hull,3.0,ok,1,38,9609,28155,1.56
attempt117_hull,2.0,ok,1,38,23778,77700,7.05
attempt117_hull,1.8,ok,1,38,29085,94479,5.25
attempt117_star,3.0,ok,1,54,9795,28338,1.63
attempt117_star,2.0,ok,1,54,23853,77342,4.44
attempt117_star,1.8,ok,1,54,29346,94995,5.4
attempt118_hull,3.0,ok,1,46,9586,28115,1.65
attempt118_hull,2.0,ok,1,46,23349,76474,4.35
attempt118_hull,1.8,ok,1,46,28798,93825,5.23
attempt118_star,3.0,ok,1,58,9820,28467,4.31
