rank,tag,worst_eq_pct,eq_pct_1p8,eq_pct_2p0,eq_pct_3p0,worst_elem_pct
1,attempt114_hull,48.51,48.51,39.91,14.51,40.5
2,attempt124_hull,48.59,48.59,39.9,14.4,40.56
3,attempt108_hull,48.63,48.63,40.06,14.62,40.6
4,attempt134_hull,48.63,48.63,39.9,14.62,40.6
5,attempt15_hull,48.64,48.64,40.01,14.71,40.6
6,attempt56_star,48.65,48.65,40.12,14.57,40.61
7,attempt54_hull,48.69,48.69,39.97,14.43,40.64
8,attempt77_hull,48.69,48.69,39.82,14.64,40.65
9,attempt37_hull,48.7,48.7,40.13,14.63,40.65
10,attempt48_hull,48.7,48.7,39.9,14.65,40.66
11,attempt64_star,48.73,48.73,40.3,14.8,40.68
12,attempt131_star,48.74,48.74,39.98,14.61,40.69
13,attempt16_hull,48.74,48.74,39.92,14.65,40.69
14,attempt102_star,48.75,48.75,40.27,14.61,40.7
15,attempt13_hull,48.75,48.75,40.11,14.52,40.7
16,attempt94_hull,48.75,48.75,39.9,14.51,40.69
17,attempt40_hull,48.76,48.76,40.0,14.56,40.71
18,attempt112_hull,48.77,48.77,40.17,14.54,40.71
19,attempt26_hull,48.77,48.77,40.16,14.54,40.72
20,attempt29_hull,48.77,48.77,40.29,14.53,40.71
